1000,经验值,exp,exp,icon_exp,9,-1,9,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],-1,-1,[-1],,,0,-1,[]
1001,钻石,diamond,diamond,icon_diamond,2,-1,1,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],-1,-1,[-1],,,0,-1,[]
1002,金币,gold,gold,icon_gold,3,-1,1,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],-1,-1,[-1],,,0,-1,[]
1003,体力,energy,energy,icon_energy,1,-1,1,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999999,-1,[-1],,,0,-1,[]
1004,皇冠,item_1004,item_desc_1004,item_dragon_crown,13,4,1,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],-1,7,[7],,,0,-1,[]
2001,草,item_2001,item_desc_2001,item_grass,13,1,2,0,,0,[],2,0,2,3,2,2,-1,200,200,1,"[50,40,60]",-1,1,0,[],99999,4,"[4,8]",,,0,10,[]
2002,树脂,item_2002,item_desc_2002,item_resin,13,1,2,0,,0,[],2,0,3,3,2,2,-1,0,200,1,"[30,30,30]",-1,1,0,[],99999,4,"[4,8]",,,0,10,[]
2003,木头,item_2003,item_desc_2003,item_wood,13,1,2,0,,0,[],2,0,3,3,2,2,-1,100,200,1,"[30,30,30]",-1,1,0,[],99999,4,"[4,8]",,,0,10,[]
2004,石头,item_2004,item_desc_2004,item_stone,13,1,2,0,,0,[],2,0,3,3,2,2,-1,100,200,1,"[40,40,40]",-1,1,0,[],99999,4,"[4,8]",,,0,10,[]
2005,铁矿,item_2005,item_desc_2005,item_iron_ore,13,1,2,0,,0,[],2,0,6,3,2,2,-1,0,200,1,"[30,30,30]",-1,1,0,[],99999,4,"[4,8]",,,0,10,[]
2006,浆果,item_2006,item_desc_2006,crops_1,13,4,18,0,,0,[],0,0,0,1,2,0,0,0,0,0,[],-1,0,3,[900],9999,9,[9],,,0,-1,[]
2007,金色浆果,item_2007,item_desc_2007,crops_2,13,4,18,0,,0,[],0,0,0,1,5,0,0,0,0,0,[],-1,0,3,[3600],9999,9,[9],,,0,-1,[]
2008,巨无霸浆果,item_2008,item_desc_2008,crops_3,13,4,18,0,,0,[],0,0,0,1,10,0,0,0,0,0,[],-1,0,3,[14400],9999,9,[9],,,0,-1,[]
2020,方草晶,item_2020,item_desc_2020,item_commission_grass,13,1,2,0,,6,[],2,0,3,3,1,2,0,0,0,1,[],-1,1,0,[],9999,4,"[4,8]",,,0,10,[]
2021,方木晶,item_2021,item_desc_2021,item_commission_wood,13,1,2,0,,6,[],2,0,3,3,1,2,0,0,0,1,[],-1,1,0,[],9999,4,"[4,8]",,,0,10,[]
2022,方石晶,item_2022,item_desc_2022,item_commission_stone,13,1,2,0,,6,[],2,0,3,3,1,2,0,0,0,1,[],-1,1,0,[],9999,4,"[4,8]",,,0,10,[]
